batting_team,bowling_team,city,runs_left,balls_left,wickets,target_runs,cur_run_rate,req_run_rate,result
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,93,103,8,107,4.941176471,5.417475728,0
Delhi Daredevils,Mumbai Indians,Centurion,14,23,6,166,9.402061856,3.652173913,1
Chennai Super Kings,Kings XI Punjab,Chandigarh,50,54,8,131,7.363636364,5.555555556,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,178,103,9,191,4.588235294,10.36893204,1
Chennai Super Kings,Kings XI Punjab,Mumbai,107,62,7,227,12.4137931,10.35483871,0
Chennai Super Kings,Rajasthan Royals,Jaipur,89,46,6,159,5.675675676,11.60869565,1
Kings XI Punjab,Rajasthan Royals,Pune,140,107,9,163,10.61538462,7.85046729,0
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,41,62,8,131,9.310344828,3.967741935,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,47,34,7,160,7.88372093,8.294117647,1
Mumbai Indians,Delhi Daredevils,Delhi,52,65,8,96,4.8,4.8,1
Delhi Daredevils,Royal Challengers Bangalore,Bangalore,112,84,9,158,7.666666667,8.0,0
Mumbai Indians,Kings XI Punjab,Indore,116,83,9,199,13.45945946,8.385542169,1
Sunrisers Hyderabad,Rajasthan Royals,Hyderabad,123,80,10,204,12.15,9.225,1
Deccan Chargers,Kolkata Knight Riders,Mumbai,55,44,7,162,8.447368421,7.5,0
Delhi Capitals,Kolkata Knight Riders,Kolkata,110,67,8,184,8.377358491,9.850746269,1
Kings XI Punjab,Mumbai Indians,Mumbai,71,37,6,160,6.43373494,11.51351351,0
Delhi Daredevils,Kings XI Punjab,Delhi,121,111,10,137,10.66666667,6.540540541,1
Rajasthan Royals,Chennai Super Kings,Chennai,157,66,8,247,10.0,14.27272727,0
Royal Challengers Bangalore,Rajasthan Royals,Jaipur,56,18,2,175,7.0,18.66666667,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,73,34,5,194,8.441860465,12.88235294,0
Delhi Daredevils,Chennai Super Kings,Johannesburg,85,55,7,164,7.292307692,9.272727273,0
Chennai Super Kings,Rajasthan Royals,Kimberley,122,101,9,141,6.0,7.247524752,1
Kolkata Knight Riders,Royal Challengers Bangalore,Ranchi,37,38,7,116,5.780487805,5.842105263,1
Chennai Super Kings,Rajasthan Royals,Jaipur,107,100,9,127,6.0,6.42,1
Chennai Super Kings,Royal Challengers Bangalore,Bengaluru,104,67,6,166,7.018867925,9.313432836,0
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,120,55,6,176,5.169230769,13.09090909,0
Kolkata Knight Riders,Rajasthan Royals,Cape Town,88,67,8,151,7.132075472,7.880597015,0
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,119,77,10,180,8.511627907,9.272727273,1
Chennai Super Kings,Rajasthan Royals,Jaipur,67,48,7,127,5.0,8.375,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,8,7,5,146,7.327433628,6.857142857,1
Rajasthan Royals,Chennai Super Kings,Ahmedabad,68,59,10,157,8.754098361,6.915254237,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,50,30,8,191,9.4,10.0,1
Kings XI Punjab,Rajasthan Royals,Jaipur,117,66,7,162,5.0,10.63636364,0
Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,107,51,5,166,5.130434783,12.58823529,0
Chennai Super Kings,Rajasthan Royals,Chennai,147,118,10,147,0.0,7.474576271,1
Kings XI Punjab,Rajasthan Royals,Indore,28,16,6,161,7.673076923,10.5,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,63,70,10,165,12.24,5.4,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,25,2,2,172,7.474576271,75.0,0
Royal Challengers Bangalore,Mumbai Indians,Unknown,109,114,10,116,7.0,5.736842105,1
Delhi Daredevils,Kings XI Punjab,Chandigarh,31,26,6,143,7.14893617,7.153846154,1
Kings XI Punjab,Delhi Daredevils,Delhi,74,22,4,189,7.040816327,20.18181818,0
Delhi Daredevils,Chennai Super Kings,Chennai,153,106,9,169,6.857142857,8.660377358,0
Kings XI Punjab,Deccan Chargers,Hyderabad,120,79,8,165,6.585365854,9.113924051,1
Kolkata Knight Riders,Kings XI Punjab,Mohali,119,80,9,187,10.2,8.925,1
Chennai Super Kings,Kings XI Punjab,Mumbai,38,54,9,113,6.818181818,4.222222222,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Bengaluru,166,81,9,223,8.769230769,12.2962963,0
Kings XI Punjab,Deccan Chargers,Hyderabad,50,47,10,166,9.534246575,6.382978723,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,125,67,8,201,8.603773585,11.19402985,0
Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,95,52,8,169,6.529411765,10.96153846,0
Delhi Capitals,Kolkata Knight Riders,Delhi,16,8,6,194,9.535714286,12.0,1
Chennai Super Kings,Kings XI Punjab,Chennai,77,49,7,157,6.76056338,9.428571429,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,32,6,3,184,8.0,32.0,0
Sunrisers Hyderabad,Mumbai Indians,Mumbai,90,69,8,158,8.0,7.826086957,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,102,99,10,133,8.857142857,6.181818182,1
Rajasthan Royals,Royal Challengers Bangalore,Jaipur,135,79,10,190,8.048780488,10.25316456,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,131,51,7,220,7.739130435,15.41176471,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,87,40,7,190,7.725,13.05,1
Kings XI Punjab,Rajasthan Royals,Ahmedabad,15,6,4,192,9.315789474,15.0,1
Delhi Daredevils,Mumbai Indians,East London,33,28,8,117,5.47826087,7.071428571,1
Mumbai Indians,Chennai Super Kings,Chennai,20,7,3,209,10.03539823,17.14285714,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,206,94,9,236,6.923076923,13.14893617,0
Deccan Chargers,Kings XI Punjab,Johannesburg,80,71,8,135,6.734693878,6.76056338,0
Mumbai Indians,Delhi Capitals,Mumbai,128,60,7,220,9.2,12.8,0
Rajasthan Royals,Royal Challengers Bangalore,Cape Town,81,40,3,134,3.975,12.15,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,21,45,8,75,4.32,2.8,1
Kings XI Punjab,Rajasthan Royals,Chandigarh,175,112,10,184,6.75,9.375,0
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,90,82,9,139,7.736842105,6.585365854,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,164,99,9,187,6.571428571,9.939393939,0
Mumbai Indians,Royal Challengers Bangalore,Mumbai,127,96,9,163,9.0,7.9375,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,119,101,10,147,8.842105263,7.069306931,1
Delhi Daredevils,Royal Challengers Bangalore,Port Elizabeth,70,45,8,150,6.4,9.333333333,1
Chennai Super Kings,Royal Challengers Bangalore,Chennai,160,102,9,166,2.0,9.411764706,1
Rajasthan Royals,Sunrisers Hyderabad,Delhi,94,87,9,133,7.090909091,6.482758621,1
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,9,17,5,183,10.13592233,3.176470588,1
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,103,76,9,145,5.727272727,8.131578947,1
Chennai Super Kings,Mumbai Indians,Mumbai,4,10,7,174,9.272727273,2.4,1
Delhi Daredevils,Deccan Chargers,Delhi,96,67,7,158,7.018867925,8.597014925,1
Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah,84,75,10,151,8.933333333,6.72,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,122,59,7,192,6.885245902,12.40677966,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,72,53,10,161,7.970149254,8.150943396,1
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,53,24,6,186,8.3125,13.25,1
Delhi Daredevils,Kolkata Knight Riders,Unknown,142,106,9,167,10.71428571,8.037735849,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,103,76,9,184,11.04545455,8.131578947,1
Delhi Daredevils,Kolkata Knight Riders,Kolkata,67,55,5,134,6.184615385,7.309090909,0
Chennai Super Kings,Mumbai Indians,Mumbai,107,63,7,177,7.368421053,10.19047619,0
Royal Challengers Bangalore,Kolkata Knight Riders,Centurion,116,72,10,174,7.25,9.666666667,1
Kings XI Punjab,Delhi Daredevils,Delhi,50,63,6,121,7.473684211,4.761904762,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,124,65,8,201,8.4,11.44615385,0
Chennai Super Kings,Mumbai Indians,Mumbai,112,59,6,170,5.704918033,11.38983051,1
Delhi Daredevils,Chennai Super Kings,Chennai,139,102,10,170,10.33333333,8.176470588,1
Delhi Daredevils,Mumbai Indians,Mumbai,40,66,8,93,5.888888889,3.636363636,1
Chennai Super Kings,Royal Challengers Bangalore,Ranchi,27,19,6,140,6.712871287,8.526315789,1
Delhi Daredevils,Kolkata Knight Riders,Kolkata,206,119,10,207,6.0,10.38655462,0
Kolkata Knight Riders,Kings XI Punjab,Mohali,36,35,8,187,10.65882353,6.171428571,1
Mumbai Indians,Deccan Chargers,Centurion,113,89,8,146,6.387096774,7.617977528,0
Kolkata Knight Riders,Rajasthan Royals,Abu Dhabi,55,34,6,153,6.837209302,9.705882353,0
Mumbai Indians,Royal Challengers Bangalore,Bangalore,152,119,10,152,0.0,7.663865546,1
Chennai Super Kings,Mumbai Indians,Mumbai,106,78,5,140,4.857142857,8.153846154,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,109,11,0,218,6.0,59.45454545,0
Delhi Daredevils,Sunrisers Hyderabad,Hyderabad,123,72,9,192,8.625,10.25,0
Mumbai Indians,Kings XI Punjab,Chandigarh,74,69,9,157,9.764705882,6.434782609,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,135,105,10,165,12.0,7.714285714,1
Rajasthan Royals,Kolkata Knight Riders,Kolkata,85,64,7,148,6.75,7.96875,1
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,33,22,6,166,8.142857143,9.0,1
Deccan Chargers,Kings XI Punjab,Johannesburg,61,46,7,135,6.0,7.956521739,0
Kings XI Punjab,Rajasthan Royals,Jaipur,70,35,5,162,6.494117647,12.0,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,134,47,3,218,6.904109589,17.10638298,0
Rajasthan Royals,Chennai Super Kings,Chennai,120,75,7,183,8.4,9.6,0
Chennai Super Kings,Mumbai Indians,Cape Town,147,94,8,166,4.384615385,9.382978723,0
Delhi Daredevils,Sunrisers Hyderabad,Raipur,97,53,6,164,6.0,10.98113208,0
Mumbai Indians,Sunrisers Hyderabad,Visakhapatnam,169,106,8,178,3.857142857,9.566037736,0
Royal Challengers Bangalore,Deccan Chargers,Nagpur,45,25,5,152,6.757894737,10.8,0
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,76,49,9,175,8.366197183,9.306122449,1
Mumbai Indians,Royal Challengers Bangalore,Mumbai,215,104,10,236,7.875,12.40384615,0
Mumbai Indians,Rajasthan Royals,Durban,85,50,6,146,5.228571429,10.2,0
Kolkata Knight Riders,Chennai Super Kings,Chennai,80,83,8,135,8.918918919,5.78313253,0
Chennai Super Kings,Mumbai Indians,Unknown,82,78,9,142,8.571428571,6.307692308,1
Royal Challengers Bangalore,Deccan Chargers,Johannesburg,35,22,3,144,6.673469388,9.545454545,0
Royal Challengers Bangalore,Delhi Capitals,Delhi,174,108,10,194,10.0,9.666666667,0
Chennai Super Kings,Delhi Daredevils,Delhi,110,60,10,179,6.9,11.0,1
Delhi Capitals,Rajasthan Royals,Jaipur,21,12,6,197,9.777777778,10.5,1
Delhi Daredevils,Chennai Super Kings,Chennai,63,67,6,113,5.660377358,5.641791045,1
Delhi Daredevils,Chennai Super Kings,Delhi,87,21,1,170,5.03030303,24.85714286,0
Royal Challengers Bangalore,Chennai Super Kings,Chennai,77,55,7,149,6.646153846,8.4,0
Chennai Super Kings,Sunrisers Hyderabad,Pune,70,44,10,193,9.710526316,9.545454545,1
Royal Challengers Bangalore,Chennai Super Kings,Bangalore,107,60,7,182,7.5,10.7,0
Rajasthan Royals,Kings XI Punjab,Chandigarh,83,30,5,196,7.533333333,16.6,0
Rajasthan Royals,Chennai Super Kings,Chennai,195,88,10,247,9.75,13.29545455,0
Delhi Daredevils,Mumbai Indians,Mumbai,153,102,10,184,10.33333333,9.0,0
Delhi Capitals,Mumbai Indians,Delhi,111,59,7,175,6.295081967,11.28813559,0
Kings XI Punjab,Royal Challengers Bangalore,Unknown,15,18,5,125,6.470588235,5.0,1
Kings XI Punjab,Royal Challengers Bangalore,Durban,66,47,8,146,6.575342466,8.425531915,0
Rajasthan Royals,Chennai Super Kings,Jaipur,92,36,6,197,7.5,15.33333333,0
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,50,45,8,159,8.72,6.666666667,1
Chennai Super Kings,Mumbai Indians,Mumbai,79,39,6,188,8.074074074,12.15384615,0
Royal Challengers Bangalore,Mumbai Indians,Bangalore,64,4,1,192,6.620689655,96.0,0
Kolkata Knight Riders,Delhi Daredevils,Delhi,92,51,6,187,8.260869565,10.82352941,0
Kings XI Punjab,Kolkata Knight Riders,Indore,146,56,6,251,9.84375,15.64285714,0
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,97,86,7,139,7.411764706,6.76744186,0
Kings XI Punjab,Rajasthan Royals,Pune,62,35,5,163,7.129411765,10.62857143,0
Delhi Daredevils,Mumbai Indians,Mumbai,131,90,10,174,8.6,8.733333333,0
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,91,32,4,199,7.363636364,17.0625,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,169,111,10,179,6.666666667,9.135135135,0
Chennai Super Kings,Kings XI Punjab,Chennai,137,102,10,157,6.666666667,8.058823529,0
Kings XI Punjab,Delhi Daredevils,Delhi,198,92,9,232,7.285714286,12.91304348,0
Rajasthan Royals,Royal Challengers Bangalore,Bangalore,164,96,10,191,6.75,10.25,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,103,43,8,196,7.246753247,14.37209302,0
Mumbai Indians,Chennai Super Kings,Mumbai,113,72,9,174,7.625,9.416666667,1
Deccan Chargers,Chennai Super Kings,Durban,28,21,6,166,8.363636364,8.0,1
Delhi Daredevils,Mumbai Indians,Mumbai,33,19,7,205,10.21782178,10.42105263,1
Kolkata Knight Riders,Kings XI Punjab,Bangalore,112,64,8,200,9.428571429,10.5,1
Delhi Daredevils,Deccan Chargers,Cuttack,131,90,9,172,8.2,8.733333333,0
Sunrisers Hyderabad,Delhi Daredevils,Delhi,169,100,9,191,6.6,10.14,1
Rajasthan Royals,Sunrisers Hyderabad,Abu Dhabi,85,65,7,134,5.345454545,7.846153846,1
Royal Challengers Bangalore,Delhi Daredevils,Sharjah,59,46,8,146,7.054054054,7.695652174,1
Delhi Daredevils,Sunrisers Hyderabad,Raipur,70,38,6,164,6.87804878,11.05263158,0
Chennai Super Kings,Rajasthan Royals,Chennai,68,36,8,212,10.28571429,11.33333333,0
Delhi Daredevils,Chennai Super Kings,Chennai,44,12,1,169,6.944444444,22.0,0
Chennai Super Kings,Royal Challengers Bangalore,Bangalore,78,33,5,172,6.482758621,14.18181818,0
Chennai Super Kings,Rajasthan Royals,Chennai,206,113,10,212,5.142857143,10.9380531,0
Royal Challengers Bangalore,Delhi Daredevils,Johannesburg,92,72,9,135,5.375,7.666666667,1
Chennai Super Kings,Rajasthan Royals,Chennai,157,88,9,212,10.3125,10.70454545,0
Mumbai Indians,Kolkata Knight Riders,Kolkata,232,113,10,242,8.571428571,12.31858407,0
Chennai Super Kings,Mumbai Indians,Mumbai,112,68,7,177,7.5,9.882352941,0
Mumbai Indians,Chennai Super Kings,Bangalore,63,16,3,188,7.211538462,23.625,0
Deccan Chargers,Chennai Super Kings,Mumbai,141,109,10,143,1.090909091,7.76146789,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,134,93,10,172,8.444444444,8.64516129,1
Deccan Chargers,Chennai Super Kings,Nagpur,134,112,10,139,3.75,7.178571429,1
Kings XI Punjab,Kolkata Knight Riders,Kolkata,128,79,9,201,10.68292683,9.721518987,1
Chennai Super Kings,Royal Challengers Bangalore,Pune,44,41,6,132,6.683544304,6.43902439,1
Mumbai Indians,Kolkata Knight Riders,Kolkata,70,62,7,138,7.034482759,6.774193548,1
Chennai Super Kings,Kings XI Punjab,Cuttack,138,51,7,232,8.173913043,16.23529412,0
Delhi Daredevils,Rajasthan Royals,Ahmedabad,172,91,8,202,6.206896552,11.34065934,0
Delhi Daredevils,Royal Challengers Bangalore,Delhi,199,110,9,216,10.2,10.85454545,0
Kings XI Punjab,Mumbai Indians,Mohali,92,53,9,188,8.597014925,10.41509434,1
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,108,89,10,165,11.03225806,7.280898876,1
Royal Challengers Bangalore,Chennai Super Kings,Johannesburg,98,91,8,147,10.13793103,6.461538462,1
Mumbai Indians,Chennai Super Kings,Bangalore,87,42,5,188,7.769230769,12.42857143,0
Mumbai Indians,Chennai Super Kings,Mumbai,180,116,10,181,1.5,9.310344828,1
Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,166,48,4,234,5.666666667,20.75,0
Deccan Chargers,Chennai Super Kings,Durban,44,33,7,166,8.413793103,8.0,1
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,82,65,9,153,7.745454545,7.569230769,0
Kings XI Punjab,Deccan Chargers,Hyderabad,90,76,10,166,10.36363636,7.105263158,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,30,33,8,130,6.896551724,5.454545455,1
Kings XI Punjab,Mumbai Indians,Mumbai,24,11,1,175,8.311926606,13.09090909,0
Rajasthan Royals,Sunrisers Hyderabad,Delhi,74,58,5,133,5.709677419,7.655172414,1
Delhi Daredevils,Kolkata Knight Riders,Kolkata,80,46,8,172,7.459459459,10.43478261,0
Chennai Super Kings,Royal Challengers Bangalore,Bengaluru,109,48,6,214,8.75,13.625,1
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,141,81,8,186,6.923076923,10.44444444,1
Kings XI Punjab,Kolkata Knight Riders,Kolkata,63,46,9,201,11.18918919,8.217391304,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,45,38,8,143,7.170731707,7.105263158,1
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,60,68,10,136,8.769230769,5.294117647,1
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,68,76,10,136,9.272727273,5.368421053,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,127,64,9,196,7.392857143,11.90625,0
Delhi Daredevils,Deccan Chargers,Centurion,144,115,10,149,6.0,7.513043478,1
Rajasthan Royals,Kings XI Punjab,Jaipur,40,39,6,125,6.296296296,6.153846154,1
Kolkata Knight Riders,Delhi Daredevils,Delhi,86,78,9,154,9.714285714,6.615384615,1
Delhi Daredevils,Kings XI Punjab,Delhi,6,41,8,112,8.050632911,0.87804878,1
Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,52,47,10,143,7.479452055,6.638297872,1
Deccan Chargers,Kings XI Punjab,Johannesburg,59,44,7,135,6.0,8.045454545,0
Chennai Super Kings,Rajasthan Royals,Ranchi,129,110,10,149,12.0,7.036363636,1
Chennai Super Kings,Kings XI Punjab,Mohali,3,3,5,199,10.05128205,6.0,0
Kings XI Punjab,Royal Challengers Bangalore,Bengaluru,27,4,4,214,9.672413793,40.5,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,41,41,9,172,9.949367089,6.0,1
Rajasthan Royals,Kings XI Punjab,Chandigarh,111,49,6,196,7.183098592,13.59183673,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,124,113,10,133,7.714285714,6.584070796,1
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,81,19,6,191,6.534653465,25.57894737,0
Kolkata Knight Riders,Delhi Daredevils,Delhi,98,45,6,178,6.4,13.06666667,0
Sunrisers Hyderabad,Delhi Daredevils,Delhi,112,106,9,115,1.285714286,6.339622642,1
Kolkata Knight Riders,Mumbai Indians,Port Elizabeth,109,49,7,188,6.676056338,13.34693878,0
Kolkata Knight Riders,Mumbai Indians,Kolkata,40,8,7,183,7.660714286,30.0,0
Mumbai Indians,Deccan Chargers,Mumbai,117,97,9,136,4.956521739,7.237113402,0
Delhi Capitals,Mumbai Indians,Delhi,159,109,10,175,8.727272727,8.752293578,0
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,118,91,10,161,8.896551724,7.78021978,1
Mumbai Indians,Kings XI Punjab,Chandigarh,152,116,10,164,18.0,7.862068966,0
Delhi Daredevils,Chennai Super Kings,Johannesburg,46,32,7,164,8.045454545,8.625,0
Mumbai Indians,Sunrisers Hyderabad,Unknown,26,11,5,173,8.091743119,14.18181818,0
Deccan Chargers,Kolkata Knight Riders,Hyderabad,164,89,7,205,7.935483871,11.05617978,0
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,34,48,9,136,8.5,4.25,1
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,45,54,8,125,7.272727273,5.0,1
Delhi Daredevils,Chennai Super Kings,Pune,97,35,6,219,8.611764706,16.62857143,0
Delhi Daredevils,Mumbai Indians,Centurion,62,52,9,166,9.176470588,7.153846154,1
Rajasthan Royals,Chennai Super Kings,Chennai,27,12,4,183,8.666666667,13.5,0
Kolkata Knight Riders,Rajasthan Royals,Kolkata,14,29,8,133,7.846153846,2.896551724,1
Royal Challengers Bangalore,Deccan Chargers,Hyderabad,105,60,8,166,6.1,10.5,1
Mumbai Indians,Sunrisers Hyderabad,Mumbai,81,64,8,159,8.357142857,7.59375,1
Kolkata Knight Riders,Kings XI Punjab,Kolkata,72,72,9,171,12.375,6.0,1
Delhi Daredevils,Kings XI Punjab,Dharamsala,98,41,6,172,5.620253165,14.34146341,0
Kings XI Punjab,Mumbai Indians,Mumbai,26,3,2,160,6.871794872,52.0,0
Kolkata Knight Riders,Chennai Super Kings,Chennai,58,45,6,135,6.16,7.733333333,0
Chennai Super Kings,Kings XI Punjab,Dharamsala,156,89,8,193,7.161290323,10.51685393,1
Rajasthan Royals,Mumbai Indians,Mumbai,27,13,5,188,9.028037383,12.46153846,0
Kings XI Punjab,Delhi Daredevils,Mohali,76,66,8,173,10.77777778,6.909090909,1
Rajasthan Royals,Chennai Super Kings,Pune,191,113,10,211,17.14285714,10.14159292,0
Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,171,82,9,228,9.0,12.51219512,0
Mumbai Indians,Chennai Super Kings,Pune,42,27,9,177,8.709677419,9.333333333,1
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,124,83,9,172,7.783783784,8.963855422,0
Kolkata Knight Riders,Kings XI Punjab,Mohali,85,55,8,187,9.415384615,9.272727273,1
Rajasthan Royals,Chennai Super Kings,Chennai,40,17,4,183,8.330097087,14.11764706,0
Kolkata Knight Riders,Delhi Daredevils,Delhi,84,41,6,187,7.82278481,12.29268293,0
Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,115,52,7,208,8.205882353,13.26923077,0
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,36,12,3,172,7.555555556,18.0,0
Rajasthan Royals,Sunrisers Hyderabad,Delhi,88,83,9,133,7.297297297,6.361445783,1
Kings XI Punjab,Royal Challengers Bangalore,Bangalore,5,6,4,159,8.105263158,5.0,1
Delhi Daredevils,Rajasthan Royals,Ahmedabad,140,59,5,202,6.098360656,14.23728814,0
Chennai Super Kings,Kolkata Knight Riders,Chennai,41,36,9,148,7.642857143,6.833333333,1
Chennai Super Kings,Delhi Daredevils,Chennai,7,34,9,115,7.534883721,1.235294118,1
Kings XI Punjab,Mumbai Indians,Mumbai,74,36,9,198,8.857142857,12.33333333,0
Chennai Super Kings,Kolkata Knight Riders,Kolkata,32,13,5,171,7.794392523,14.76923077,1
Kolkata Knight Riders,Chennai Super Kings,Chennai,90,59,9,191,9.93442623,9.152542373,1
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,110,99,10,136,7.428571429,6.666666667,1
Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,152,86,7,187,6.176470588,10.60465116,0
Chennai Super Kings,Sunrisers Hyderabad,Pune,104,62,10,193,9.206896552,10.06451613,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,62,115,10,68,7.2,3.234782609,1
Chennai Super Kings,Mumbai Indians,Chennai,44,14,0,160,6.566037736,18.85714286,0
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,122,72,7,178,7.0,10.16666667,1
Royal Challengers Bangalore,Kings XI Punjab,Bangalore,195,109,10,204,4.909090909,10.73394495,1
Mumbai Indians,Chennai Super Kings,Pune,33,16,8,177,8.307692308,12.375,1
Kings XI Punjab,Mumbai Indians,Chandigarh,127,68,8,190,7.269230769,11.20588235,0
Kolkata Knight Riders,Chennai Super Kings,Chennai,191,117,10,201,20.0,9.794871795,0
Kolkata Knight Riders,Kings XI Punjab,Chandigarh,82,92,10,125,9.214285714,5.347826087,1
Kolkata Knight Riders,Chennai Super Kings,Centurion,111,65,9,189,8.509090909,10.24615385,1
Kings XI Punjab,Delhi Daredevils,Delhi,136,67,7,189,6.0,12.17910448,0
Chennai Super Kings,Royal Challengers Bangalore,Ranchi,51,32,7,140,6.068181818,9.5625,1
Delhi Daredevils,Kolkata Knight Riders,Unknown,155,113,9,167,10.28571429,8.230088496,1
Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,150,87,8,186,6.545454545,10.34482759,1
Royal Challengers Bangalore,Rajasthan Royals,Ahmedabad,1,24,9,131,8.125,0.25,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,52,51,9,144,8.0,6.117647059,1
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,126,68,9,190,7.384615385,11.11764706,1
Mumbai Indians,Kings XI Punjab,Mumbai,59,39,7,169,8.148148148,9.076923077,1
Deccan Chargers,Mumbai Indians,Mumbai,118,96,10,155,9.25,7.375,1
Mumbai Indians,Royal Challengers Bangalore,Bengaluru,80,54,6,174,8.545454545,8.888888889,0
Kolkata Knight Riders,Kings XI Punjab,Bangalore,43,25,6,200,9.915789474,10.32,1
Delhi Daredevils,Royal Challengers Bangalore,Bangalore,126,96,10,158,8.0,7.875,0
Mumbai Indians,Chennai Super Kings,Pune,134,90,10,177,8.6,8.933333333,1
Chennai Super Kings,Rajasthan Royals,Ranchi,23,10,5,149,6.872727273,13.8,1
Delhi Daredevils,Kolkata Knight Riders,Kolkata,86,54,5,207,11.0,9.555555556,0
Royal Challengers Bangalore,Delhi Daredevils,Delhi,57,51,6,161,9.043478261,6.705882353,1
Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,113,74,9,176,8.217391304,9.162162162,0
Rajasthan Royals,Mumbai Indians,Jaipur,118,88,9,172,10.125,8.045454545,1
Mumbai Indians,Kolkata Knight Riders,Mumbai,105,93,10,148,9.555555556,6.774193548,1
Mumbai Indians,Rajasthan Royals,Mumbai,4,32,7,104,6.818181818,0.75,1
Sunrisers Hyderabad,Mumbai Indians,Hyderabad,113,86,9,143,5.294117647,7.88372093,1
Delhi Daredevils,Royal Challengers Bangalore,Bangalore,77,35,5,187,7.764705882,13.2,0
Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,13,1,4,171,7.966386555,78.0,0
Delhi Daredevils,Mumbai Indians,Mumbai,182,108,10,205,11.5,10.11111111,1
Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,119,75,10,180,8.133333333,9.52,1
Royal Challengers Bangalore,Kings XI Punjab,Bengaluru,161,119,10,162,6.0,8.117647059,1
